Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Cr)
2024-06-12,1110.90,1135.00,1097.00,1123.60,1111.40,93150,403.6888188
2024-06-11,1081.10,1120.95,1073.40,1111.40,1086.00,95841,381.0995807
2024-06-10,1064.95,1097.70,1060.00,1086.00,1056.15,66806,266.1599366
2024-06-07,1028.90,1061.60,1017.95,1056.15,1063.35,65954,258.7614423
2024-06-06,1046.95,1067.00,1045.00,1063.35,1043.10,32991,90.9132030
2024-06-05,1016.00,1047.00,991.50,1043.10,996.95,42669,85.6217306
2024-06-04,1068.00,1068.00,960.05,996.95,1060.85,1030714,195.9381005
2024-06-03,1068.00,1068.00,1033.65,1060.85,1030.15,49386,148.3619955
2024-05-31,1048.45,1055.95,1027.00,1030.15,1043.55,36100,135.6600732
2024-05-30,1072.65,1078.95,1037.00,1043.55,1072.30,36638,112.0709858
2024-05-29,1096.40,1101.45,1070.25,1072.30,1096.40,32302,98.9313616
2024-05-28,1108.90,1129.00,1090.45,1096.40,1105.15,54793,178.9985068
2024-05-27,1092.60,1117.00,1086.40,1105.15,1084.25,56859,261.4550687
2024-05-24,1089.85,1118.40,1080.05,1084.25,1088.85,69316,351.1031260
2024-05-23,1081.05,1094.85,1077.00,1088.85,1086.45,31693,100.9216397
2024-05-22,1084.15,1094.85,1076.45,1086.45,1087.45,26535,53.9641626
2024-05-21,1079.00,1094.35,1075.30,1087.45,1079.55,31790,62.2174623
2024-05-18,1086.85,1092.00,1078.00,1079.55,1084.45,4980,11.0230308
2024-05-17,1083.00,1105.25,1078.80,1084.45,1083.00,31515,75.5866461
2024-05-16,1080.00,1085.65,1071.40,1083.00,1072.45,22236,57.5614440
2024-05-15,1065.85,1101.50,1065.85,1072.45,1065.75,39107,104.4894412
2024-05-14,1062.25,1068.35,1048.00,1065.75,1063.00,24967,60.1316449
2024-05-13,1057.00,1065.00,1032.20,1063.00,1058.65,25759,62.8174438
2024-05-10,1045.00,1062.90,1043.00,1058.65,1044.30,34717,72.0463156
2024-05-09,1080.00,1084.00,1042.00,1044.30,1080.00,32673,66.0825903
2024-05-08,1063.55,1084.10,1055.30,1080.00,1063.55,27790,68.1011914
2024-05-07,1082.45,1087.90,1060.50,1063.55,1082.45,28025,74.8862563
2024-05-06,1096.00,1103.50,1068.45,1082.45,1090.80,36130,86.5471563
2024-05-03,1103.90,1109.40,1082.40,1090.80,1100.65,32911,112.3396155
2024-05-02,1072.00,1110.95,1065.10,1100.65,1072.15,74190,329.3502587
2024-04-30,1066.00,1084.90,1050.00,1072.15,1099.50,150909,634.4165265
2024-04-29,1135.00,1136.00,1095.90,1099.50,1122.00,59552,230.2295945
2024-04-26,1122.30,1132.50,1116.15,1122.00,1112.80,38342,131.7484926
2024-04-25,1133.95,1141.20,1108.55,1112.80,1126.85,52992,237.1857096
2024-04-24,1124.00,1144.90,1116.05,1126.85,1114.90,56238,256.3188963
2024-04-23,1119.85,1130.00,1110.00,1114.90,1115.40,36426,151.1826566
2024-04-22,1119.00,1123.00,1097.80,1115.40,1103.75,54935,205.6932737
2024-04-19,1090.00,1123.50,1080.50,1103.75,1105.05,65481,233.3182486
2024-04-18,1121.90,1155.95,1096.90,1105.05,1106.20,83899,306.0627415
2024-04-16,1090.90,1129.60,1089.10,1106.20,1102.15,58441,188.6758891
2024-04-15,1121.00,1129.90,1075.50,1102.15,1148.45,97304,315.3468470
2024-04-12,1170.00,1181.40,1146.00,1148.45,1168.55,65589,289.5570437
2024-04-10,1140.15,1188.80,1140.15,1168.55,1137.95,132818,591.2352611
2024-04-09,1142.00,1163.00,1130.25,1137.95,1137.55,87473,272.8985542
2024-04-08,1140.00,1147.85,1121.10,1137.55,1132.55,71216,220.8774110
2024-04-05,1094.95,1160.00,1088.10,1132.55,1093.65,2100374,917.3625876
2024-04-04,1102.00,1106.85,1087.00,1093.65,1091.80,40624,124.7289411
2024-04-03,1087.10,1112.70,1087.10,1091.80,1093.85,58428,192.0638623
2024-04-02,1095.90,1105.00,1087.00,1093.85,1087.20,46817,140.1996201
2024-04-01,1096.40,1125.70,1083.50,1087.20,1080.90,73038,231.8318175
2024-03-28,1112.00,1124.35,1075.20,1080.90,1110.30,79947,276.0938957
2024-03-27,1092.10,1142.80,1070.20,1110.30,1087.05,178270,783.8544407
2024-03-26,1051.00,1096.00,1046.10,1087.05,1046.40,58202,217.2092662
2024-03-22,1024.05,1064.85,1020.00,1046.40,1034.90,73589,302.3964627
2024-03-21,1048.85,1055.00,1030.50,1034.90,1031.30,50496,181.2588012
2024-03-20,1126.00,1132.00,1020.55,1031.30,1120.90,259881,943.5796073
2024-03-19,1134.70,1136.80,1113.55,1120.90,1136.55,25481,107.4197446
2024-03-18,1126.00,1143.40,1103.05,1136.55,1128.75,29707,103.9249245
2024-03-15,1136.70,1148.00,1112.50,1128.75,1135.25,42131,180.9044339
2024-03-14,1091.95,1149.85,1077.50,1135.25,1097.45,71397,311.3907724
2024-03-13,1146.00,1169.00,1081.45,1097.45,1143.65,100493,426.5663624
2024-03-12,1165.00,1169.45,1105.10,1143.65,1175.40,153946,844.5412191
2024-03-11,1220.00,1222.00,1170.00,1175.40,1315.25,342951,1754.6684349
2024-03-07,1187.05,1349.00,1175.70,1315.25,1178.45,1042294,6180.6674473
2024-03-06,1063.00,1202.85,1047.55,1178.45,1061.30,439958,2153.1325822
2024-03-05,1020.05,1085.00,1011.00,1061.30,1003.00,262384,1000.2752469
2024-03-04,981.95,1009.20,969.30,1003.00,973.05,52705,172.0288340
2024-03-02,971.00,985.55,969.35,973.05,968.00,5116,8.8545883
2024-03-01,946.00,971.30,945.00,968.00,939.20,40016,83.9231054
2024-02-29,945.10,947.10,933.00,939.20,944.10,43035,81.5422167
2024-02-28,961.00,965.50,940.50,944.10,961.80,44970,69.7664789
2024-02-27,972.00,975.00,958.75,961.80,967.70,23598,41.2519155
2024-02-26,981.75,984.45,966.00,967.70,976.50,25335,43.4807732
2024-02-23,985.10,987.75,975.00,976.50,980.55,18707,38.9503750
2024-02-22,978.50,983.65,969.05,980.55,977.50,20400,40.6495216
2024-02-21,987.05,997.00,974.05,977.50,983.35,31720,76.1407833
2024-02-20,983.90,991.95,974.10,983.35,977.45,32870,86.2010420
2024-02-19,978.45,984.60,972.00,977.45,972.15,22387,50.5728788
2024-02-16,977.00,980.95,970.20,972.15,965.50,25952,63.9594823
2024-02-15,968.05,978.90,961.90,965.50,966.20,25629,63.4256454
2024-02-14,958.00,970.00,947.75,966.20,958.30,23958,44.4366622
2024-02-13,953.85,961.70,937.15,958.30,946.05,41433,87.1317082
2024-02-12,961.00,973.40,944.05,946.05,957.05,47884,100.8008889
2024-02-09,971.05,980.10,950.10,957.05,971.05,62562,122.3831061
2024-02-08,987.05,990.00,968.00,971.05,987.05,54101,98.8930572
2024-02-07,994.90,995.95,982.25,987.05,991.95,39554,95.6241637
2024-02-06,935.25,1002.40,935.25,991.95,979.25,159698,495.4845634
2024-02-05,999.00,1002.95,976.00,979.25,997.30,86262,213.0165877
2024-02-02,1023.00,1023.95,994.50,997.30,1014.90,76905,223.9074845
2024-02-01,1035.00,1035.95,1012.00,1014.90,1028.05,34324,73.7383725
2024-01-31,1010.10,1032.60,1007.00,1028.05,1005.75,37100,96.5058421
2024-01-30,1013.15,1027.90,1003.00,1005.75,1013.15,29395,72.1951882
2024-01-29,1010.15,1018.00,1006.40,1013.15,1005.65,24786,63.4582410
2024-01-25,1022.00,1026.00,1001.10,1005.65,1017.85,27509,72.1163458
2024-01-24,1008.95,1023.00,998.55,1017.85,1003.95,28313,81.7021222
2024-01-23,1060.05,1068.00,1000.05,1003.95,1051.95,55318,117.5227847
2024-01-20,1077.30,1085.65,1001.70,1051.95,1075.25,42419,86.8678740
2024-01-19,1074.95,1096.85,1070.15,1075.25,1066.25,35514,108.0433617
2024-01-18,1080.00,1092.50,1048.00,1066.25,1083.65,40604,84.0065349
2024-01-17,1097.95,1104.95,1079.95,1083.65,1102.45,31798,66.8780648
2024-01-16,1112.20,1117.70,1089.45,1102.45,1112.20,27894,66.6540170
2024-01-15,1118.90,1125.00,1107.15,1112.20,1112.20,23292,64.1851921
2024-01-12,1110.00,1124.85,1096.70,1112.20,1104.85,33532,120.1948664
